category,a,b,c,d,predicted,cosine_similarity,correct
plurale,river,rivers,science,sciences,scientific,0.790209174156189,False
plurale,science,sciences,album,albums,albums,0.745851993560791,True
plurale,album,albums,application,applications,applications,0.8480778336524963,True
plurale,application,applications,area,areas,areas,0.8688891530036926,True
plurale,area,areas,car,cars,cars,0.8713887929916382,True
plurale,car,cars,college,colleges,colleges,0.8900620341300964,True
plurale,college,colleges,council,councils,councils,0.8321685791015625,True
plurale,council,councils,customer,customers,customers,0.8288425207138062,True
plurale,customer,customers,day,days,workday,0.6771045923233032,False
plurale,day,days,river,rivers,rivers,0.7399260997772217,True
plurale,death,deaths,science,sciences,scientific,0.7509775757789612,False
plurale,department,departments,album,albums,albums,0.817845344543457,True
plurale,development,developments,application,applications,applications,0.7611520290374756,True
plurale,difference,differences,area,areas,areas,0.8393349051475525,True
plurale,director,directors,car,cars,cars,0.8407167792320251,True
plurale,event,events,college,colleges,colleges,0.8785539865493774,True
plurale,example,examples,council,councils,councils,0.8176143765449524,True
plurale,fact,facts,customer,customers,customers,0.7692578434944153,True
plurale,friend,friends,day,days,days,0.617917537689209,True
plurale,god,gods,river,rivers,rivers,0.7465833425521851,True
plurale,government,governments,science,sciences,scientific,0.8220447301864624,False
plurale,hour,hours,album,albums,albums,0.8157644271850586,True
plurale,idea,ideas,application,applications,applications,0.8238677978515625,True
plurale,language,languages,area,areas,areas,0.844036340713501,True
plurale,law,laws,car,cars,cars,0.8788623809814453,True
plurale,member,members,college,colleges,colleges,0.8557507395744324,True
plurale,month,months,council,councils,councils,0.8012290596961975,True
plurale,night,nights,customer,customers,customers,0.8637712597846985,True
plurale,office,offices,day,days,days,0.6734022498130798,True
plurale,period,periods,river,rivers,rivers,0.8053259253501892,True
plurale,player,players,science,sciences,scientific,0.7524581551551819,False
plurale,population,populations,album,albums,albums,0.7472794651985168,True
plurale,problem,problems,application,applications,applications,0.8387390375137329,True
plurale,product,products,area,areas,areas,0.8544552326202393,True
plurale,resource,resources,car,cars,cars,0.8992214798927307,True
